date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point,day,day_of_week,quarter,year,Predicted_Units_Sold,Inventory_Gap,Inventory_Coverage,Risk_Score,Risk_Level
2024-01-01,SKU018,8,455.68,56.96,0,Furniture,General,2023-01-01,30,56.96,1,1,Winter,0,,163.0,4.0,14.0,33.0,1,0,1,2024,8.64,154.36,16.90871369294606,5.583873957367933,Low
2024-01-01,SKU019,9,1439.28,159.92,0,Appliances,General,2023-01-01,107,159.92,1,1,Winter,0,,247.0,56.0,10.0,74.0,1,0,1,2024,10.22,236.78,22.014260249554365,4.3451320579350945,Low
2024-01-01,SKU020,10,795.2,79.52,0,Decor,General,2023-01-01,51,79.52,1,1,Winter,0,,205.0,12.0,14.0,54.0,1,0,1,2024,9.79,195.21,18.999073215940687,5.000231706751935,Low
2024-01-01,SKU021,11,2960.43,269.13,0,Furniture,General,2023-01-01,181,269.13,1,1,Winter,0,,203.0,7.0,15.0,37.0,1,0,1,2024,10.35,192.65,17.88546255506608,5.295078143223699,Low
2024-01-01,SKU022,16,4605.44,287.84,0,Decor,General,2023-01-01,165,287.84,1,1,Winter,0,,117.0,15.0,17.0,25.0,1,0,1,2024,14.35,102.65,7.62214983713355,11.598035511900266,Low
2024-01-01,SKU023,10,828.0,82.8,0,Appliances,General,2023-01-01,51,82.8,1,1,Winter,0,,128.0,82.0,3.0,23.0,1,0,1,2024,10.53,117.47,11.101474414570685,8.263455887622733,Low
2024-01-01,SKU024,8,2465.92,308.24,0,Decor,General,2023-01-01,173,308.24,1,1,Winter,0,,190.0,31.0,7.0,70.0,1,0,1,2024,9.2,180.8,18.627450980392158,5.094905094905094,Low
2024-01-01,SKU025,8,2259.92,282.49,0,Furniture,General,2023-01-01,185,282.49,1,1,Winter,0,,125.0,8.0,20.0,33.0,1,0,1,2024,8.46,116.53999999999999,13.21353065539112,7.035549605830731,Low
2024-01-01,SKU026,12,1530.24,127.52,0,Appliances,General,2023-01-01,68,127.52,1,1,Winter,0,,130.0,29.0,13.0,69.0,1,0,1,2024,11.7,118.3,10.236220472440946,8.89978976874562,Low
2024-01-01,SKU027,5,832.95,166.59,0,Decor,General,2023-01-01,112,166.59,1,1,Winter,0,,95.0,100.0,3.0,37.0,1,0,1,2024,7.8,87.2,10.795454545454545,8.477842003853565,Low
2024-01-01,SKU028,7,2076.13,296.59,0,Appliances,General,2023-01-01,155,296.59,1,1,Winter,0,,94.0,16.0,20.0,36.0,1,0,1,2024,7.62,86.38,10.904872389791182,8.399922042486846,Low
2024-01-01,SKU029,13,1463.28,112.56,0,Kitchen,General,2023-01-01,64,112.56,1,1,Winter,0,,109.0,14.0,3.0,28.0,1,0,1,2024,12.58,96.42,8.026509572901325,11.078479360417687,Low
2024-01-01,SKU030,14,3949.26,282.09,0,Appliances,General,2023-01-01,174,282.09,1,1,Winter,0,,27.0,45.0,10.0,57.0,1,0,1,2024,13.0,14.0,1.9285714285714286,34.14634146341463,Low
2024-01-01,SKU031,12,795.24,66.27,0,Appliances,General,2023-01-01,45,66.27,1,1,Winter,0,,185.0,2.0,8.0,36.0,1,0,1,2024,12.03,172.97,14.198004604758252,6.579811139726304,Low
2024-01-01,SKU032,16,4070.08,254.38,0,Kitchen,General,2023-01-01,159,254.38,1,1,Winter,0,,46.0,16.0,16.0,53.0,1,0,1,2024,14.6,31.4,2.948717948717949,25.324675324675322,Low
2024-01-01,SKU033,15,2223.9,148.26,0,Decor,General,2023-01-01,102,148.26,1,1,Winter,0,,78.0,95.0,5.0,50.0,1,0,1,2024,11.06,66.94,6.467661691542288,13.3910726182545,Low
2024-01-01,SKU034,12,2764.32,230.36,0,Furniture,General,2023-01-01,140,230.36,1,1,Winter,0,,249.0,99.0,14.0,52.0,1,0,1,2024,12.33,236.67,18.67966991747937,5.081386040483361,Low
2024-01-01,SKU035,10,534.7,53.47,0,Decor,General,2023-01-01,38,53.47,1,1,Winter,0,,75.0,57.0,19.0,34.0,1,0,1,2024,10.43,64.57,6.561679790026247,13.224574800416523,Low
2024-01-01,SKU036,8,2348.56,293.57,0,Furniture,General,2023-01-01,184,293.57,1,1,Winter,0,,42.0,93.0,19.0,39.0,1,0,1,2024,10.94,31.060000000000002,3.5175879396984926,22.1357063403782,Low
2024-01-01,SKU037,17,2877.25,169.25,0,Kitchen,General,2023-01-01,108,169.25,1,1,Winter,0,,254.0,82.0,3.0,23.0,1,0,1,2024,14.51,239.49,16.37653127014829,5.754888501354309,Low
2024-01-01,SKU038,11,2354.22,214.02,0,Furniture,General,2023-01-01,145,214.02,1,1,Winter,0,,265.0,51.0,16.0,63.0,1,0,1,2024,11.42,253.58,21.336553945249598,4.476966332636436,Low
2024-01-01,SKU039,10,3320.3,332.03,0,Appliances,General,2023-01-01,184,332.03,1,1,Winter,0,,75.0,62.0,17.0,24.0,1,0,1,2024,10.45,64.55,6.550218340611354,13.24465008675535,Low
2024-01-01,SKU040,14,3746.82,267.63,0,Appliances,General,2023-01-01,174,267.63,1,1,Winter,0,,61.0,41.0,7.0,24.0,1,0,1,2024,11.35,49.65,4.939271255060729,16.83708248125426,Low
2024-01-01,SKU041,11,1877.7,170.7,0,Furniture,General,2023-01-01,121,170.7,1,1,Winter,0,,84.0,35.0,21.0,55.0,1,0,1,2024,10.89,73.11,7.064760302775441,12.399624569819586,Low
2024-01-01,SKU042,2,742.28,371.14,0,Appliances,General,2023-01-01,194,371.14,1,1,Winter,0,,186.0,48.0,19.0,38.0,1,0,1,2024,10.8,175.2,15.762711864406779,5.96562184024267,Low
2024-01-01,SKU043,11,2783.11,253.01,0,Furniture,General,2023-01-01,138,253.01,1,1,Winter,0,,252.0,64.0,16.0,26.0,1,0,1,2024,10.8,241.2,21.35593220338983,4.473085670962851,Low
2024-01-01,SKU044,8,2052.08,256.51,0,Decor,General,2023-01-01,170,256.51,1,1,Winter,0,,78.0,83.0,20.0,66.0,1,0,1,2024,9.62,68.38,7.344632768361582,11.98375084631009,Low
2024-01-01,SKU045,2,153.06,76.53,0,Decor,General,2023-01-01,49,76.53,1,1,Winter,0,,130.0,55.0,17.0,76.0,1,0,1,2024,5.68,124.32,19.46107784431138,4.88732806555458,Low
2024-01-01,SKU046,5,1455.9,291.18,0,Furniture,General,2023-01-01,148,291.18,1,1,Winter,0,,136.0,52.0,13.0,72.0,1,0,1,2024,7.69,128.31,15.650172612197926,6.005943741792799,Low
2024-01-01,SKU047,9,2240.01,248.89,0,Furniture,General,2023-01-01,163,248.89,1,1,Winter,0,,252.0,51.0,16.0,66.0,1,0,1,2024,10.07,241.93,22.76422764227642,4.208005473828259,Low
2024-01-01,SKU048,14,1037.54,74.11,0,Appliances,General,2023-01-01,38,74.11,1,1,Winter,0,,68.0,40.0,16.0,40.0,1,0,1,2024,12.94,55.06,4.878048780487805,17.012448132780083,Low
2024-01-01,SKU049,13,1237.34,95.18,0,Furniture,General,2023-01-01,71,95.18,1,1,Winter,0,,150.0,47.0,7.0,63.0,1,0,1,2024,12.3,137.7,11.278195488721805,8.14451928965095,Low
2024-01-01,SKU050,12,674.16,56.18,0,Furniture,General,2023-01-01,31,56.18,1,1,Winter,0,,262.0,8.0,5.0,73.0,1,0,1,2024,11.6,250.4,20.793650793650794,4.588492352512746,Low
2024-01-01,SKU051,7,1876.49,268.07,0,Decor,General,2023-01-01,146,268.07,1,1,Winter,0,,63.0,11.0,16.0,26.0,1,0,1,2024,9.21,53.79,6.170421155729676,13.946182215544326,Low
2024-01-01,SKU052,6,1743.72,290.62,0,Decor,General,2023-01-01,178,290.62,1,1,Winter,0,,210.0,16.0,20.0,23.0,1,0,1,2024,7.42,202.58,24.94061757719715,3.8549583371486134,Low
2024-01-01,SKU053,16,1850.98,115.69,1,Kitchen,General,2023-01-01,77,128.54,1,1,Winter,0,,188.0,85.0,6.0,46.0,1,0,1,2024,15.89,172.11,11.13084665482534,8.24344770364586,Low
2024-01-01,SKU054,16,1997.12,124.82,0,Decor,General,2023-01-01,64,124.82,1,1,Winter,0,,201.0,85.0,16.0,75.0,1,0,1,2024,14.31,186.69,13.128674069235792,7.077805002080348,Low
2024-01-01,SKU055,11,3206.39,291.49,0,Appliances,General,2023-01-01,192,291.49,1,1,Winter,0,,46.0,36.0,12.0,42.0,1,0,1,2024,11.32,34.68,3.7337662337662336,21.124828532235938,Low
2024-01-01,SKU056,19,4473.17,235.43,0,Kitchen,General,2023-01-01,122,235.43,1,1,Winter,0,,73.0,73.0,19.0,33.0,1,0,1,2024,15.7,57.3,4.371257485029941,18.61761426978818,Low
2024-01-01,SKU057,11,583.51,53.05,1,Furniture,General,2023-01-01,40,58.94,1,1,Winter,0,,99.0,84.0,18.0,34.0,1,0,1,2024,12.21,86.78999999999999,7.494322482967449,11.772569289724625,Low
2024-01-01,SKU058,12,1514.52,126.21,0,Decor,General,2023-01-01,96,126.21,1,1,Winter,0,,75.0,44.0,20.0,43.0,1,0,1,2024,12.11,62.89,5.720823798627003,14.879128362274427,Low
2024-01-01,SKU059,15,3489.9,232.66,0,Furniture,General,2023-01-01,160,232.66,1,1,Winter,0,,78.0,97.0,11.0,56.0,1,0,1,2024,14.02,63.980000000000004,5.193075898801598,16.147065147280156,Low
2024-01-01,SKU060,2,665.36,332.68,0,Decor,General,2023-01-01,191,332.68,1,1,Winter,0,,135.0,54.0,20.0,69.0,1,0,1,2024,4.39,130.61,25.046382189239335,3.839304793788731,Low
2024-01-01,SKU061,8,417.68,52.21,0,Appliances,General,2023-01-01,27,52.21,1,1,Winter,0,,33.0,77.0,11.0,21.0,1,0,1,2024,9.02,23.98,3.2934131736526946,23.29149232914923,Low
2024-01-01,SKU062,10,464.8,46.48,0,Appliances,General,2023-01-01,28,46.48,1,1,Winter,0,,112.0,34.0,12.0,78.0,1,0,1,2024,10.44,101.56,9.79020979020979,9.267660401814647,Low
2024-01-01,SKU063,12,3561.6,296.8,0,Decor,General,2023-01-01,181,296.8,1,1,Winter,0,,193.0,44.0,3.0,31.0,1,0,1,2024,11.86,181.14,15.007776049766719,6.246963956086661,Low
2024-01-01,SKU064,8,3049.6,381.2,0,Kitchen,General,2023-01-01,195,381.2,1,1,Winter,0,,93.0,72.0,15.0,24.0,1,0,1,2024,8.28,84.72,10.021551724137932,9.07313257723895,Low
2024-01-01,SKU065,8,1065.12,133.14,0,Kitchen,General,2023-01-01,72,133.14,1,1,Winter,0,,92.0,94.0,3.0,25.0,1,0,1,2024,9.71,82.28999999999999,8.590102707749766,10.42741699931847,Low
2024-01-01,SKU066,9,713.07,79.23,0,Kitchen,General,2023-01-01,58,79.23,1,1,Winter,0,,291.0,27.0,15.0,46.0,1,0,1,2024,10.04,280.96,26.358695652173914,3.6551450139054427,Low
2024-01-01,SKU067,18,2586.33,143.69,1,Kitchen,General,2023-01-01,100,159.65,1,1,Winter,0,,252.0,43.0,8.0,43.0,1,0,1,2024,18.19,233.81,13.131839499739447,7.076219624617427,Low
2024-01-01,SKU068,11,2884.53,262.23,0,Furniture,General,2023-01-01,196,262.23,1,1,Winter,0,,179.0,92.0,13.0,69.0,1,0,1,2024,10.72,168.28,15.273037542662115,6.145134228187919,Low
2024-01-01,SKU069,11,435.05,39.55,0,Appliances,General,2023-01-01,25,39.55,1,1,Winter,0,,63.0,6.0,7.0,30.0,1,0,1,2024,11.12,51.88,5.198019801980198,16.134185303514375,Low
2024-01-01,SKU070,13,709.02,54.54,0,Decor,General,2023-01-01,37,54.54,1,1,Winter,0,,45.0,86.0,5.0,37.0,1,0,1,2024,12.25,32.75,3.3962264150943398,22.746781115879827,Low
2024-01-01,SKU071,14,3321.64,237.26,0,Kitchen,General,2023-01-01,147,237.26,1,1,Winter,0,,246.0,84.0,16.0,51.0,1,0,1,2024,11.31,234.69,19.983753046303818,4.765591730866014,Low
2024-01-01,SKU072,15,1255.8,83.72,0,Decor,General,2023-01-01,56,83.72,1,1,Winter,0,,246.0,53.0,11.0,33.0,1,0,1,2024,13.72,232.28,16.71195652173913,5.645903651426819,Low
2024-01-01,SKU073,15,700.5,46.7,0,Furniture,General,2023-01-01,29,46.7,1,1,Winter,0,,282.0,14.0,14.0,47.0,1,0,1,2024,10.99,271.01,23.519599666388658,4.078370012585462,Low
2024-01-01,SKU074,12,463.68,38.64,0,Furniture,General,2023-01-01,22,38.64,1,1,Winter,0,,76.0,36.0,21.0,51.0,1,0,1,2024,11.97,64.03,5.859676175790285,14.577947622794202,Low
2024-01-01,SKU075,14,900.2,64.3,0,Decor,General,2023-01-01,33,64.3,1,1,Winter,0,,289.0,85.0,12.0,22.0,1,0,1,2024,12.48,276.52,21.439169139465875,4.4564929912721505,Low
2024-01-01,SKU076,13,1071.07,82.39,0,Kitchen,General,2023-01-01,52,82.39,1,1,Winter,0,,132.0,50.0,4.0,20.0,1,0,1,2024,12.42,119.58,9.836065573770492,9.228441754916792,Low
2024-01-01,SKU077,5,609.7,121.94,0,Furniture,General,2023-01-01,64,121.94,1,1,Winter,0,,124.0,38.0,9.0,69.0,1,0,1,2024,7.43,116.57,14.709371293001187,6.365627123763497,Low
2024-01-01,SKU078,8,651.12,81.39,0,Kitchen,General,2023-01-01,52,81.39,1,1,Winter,0,,90.0,97.0,11.0,38.0,1,0,1,2024,9.54,80.46000000000001,8.538899430740038,10.483389695643524,Low
2024-01-01,SKU079,12,1800.48,150.04,0,Kitchen,General,2023-01-01,77,150.04,1,1,Winter,0,,187.0,15.0,3.0,51.0,1,0,1,2024,10.79,176.21,15.860899067005938,5.930881835102369,Low
2024-01-01,SKU080,14,1854.72,132.48,0,Kitchen,General,2023-01-01,83,132.48,1,1,Winter,0,,240.0,22.0,7.0,44.0,1,0,1,2024,12.87,227.13,17.303532804614278,5.463426162996809,Low
2024-01-01,SKU081,18,1263.78,70.21,0,Decor,General,2023-01-01,49,70.21,1,1,Winter,0,,292.0,90.0,10.0,52.0,1,0,1,2024,9.82,282.18,26.98706099815157,3.573079717323823,Low
2024-01-01,SKU082,14,573.02,40.93,0,Furniture,General,2023-01-01,24,40.93,1,1,Winter,0,,201.0,9.0,15.0,75.0,1,0,1,2024,12.85,188.15,14.512635379061372,6.446357924133116,Low
2024-01-01,SKU083,15,1809.0,120.6,0,Kitchen,General,2023-01-01,90,120.6,1,1,Winter,0,,41.0,55.0,3.0,49.0,1,0,1,2024,13.02,27.98,2.9243937232524964,25.481643038894948,Low
2024-01-01,SKU084,9,2413.89,268.21,0,Decor,General,2023-01-01,138,268.21,1,1,Winter,0,,59.0,40.0,21.0,47.0,1,0,1,2024,11.27,47.730000000000004,4.808475957620212,17.216220008418688,Low
2024-01-01,SKU085,9,426.06,47.34,0,Furniture,General,2023-01-01,24,47.34,1,1,Winter,0,,227.0,90.0,16.0,38.0,1,0,1,2024,9.53,217.47,21.557454890788225,4.433124236938492,Low
2024-01-01,SKU086,13,998.79,76.83,0,Furniture,General,2023-01-01,57,76.83,1,1,Winter,0,,78.0,51.0,3.0,40.0,1,0,1,2024,12.21,65.78999999999999,5.904617713853141,14.483061067865366,Low
2024-01-01,SKU087,5,1732.0,346.4,0,Kitchen,General,2023-01-01,182,346.4,1,1,Winter,0,,107.0,79.0,17.0,73.0,1,0,1,2024,10.66,96.34,9.176672384219554,9.8263947412776,Low
2024-01-01,SKU088,7,548.52,78.36,0,Decor,General,2023-01-01,40,78.36,1,1,Winter,0,,205.0,11.0,16.0,74.0,1,0,1,2024,8.75,196.25,21.025641025641026,4.540162980209546,Low
2024-01-01,SKU089,14,3796.1,271.15,0,Furniture,General,2023-01-01,158,271.15,1,1,Winter,0,,74.0,31.0,16.0,57.0,1,0,1,2024,12.53,61.47,5.469327420546933,15.45755740888838,Low
2024-01-01,SKU090,12,2471.28,205.94,0,Appliances,General,2023-01-01,117,205.94,1,1,Winter,0,,225.0,67.0,5.0,45.0,1,0,1,2024,11.58,213.42,17.885532591414943,5.295058506608301,Low
2024-01-01,SKU091,11,1206.37,109.67,0,Appliances,General,2023-01-01,76,109.67,1,1,Winter,0,,178.0,95.0,13.0,34.0,1,0,1,2024,10.91,167.09,14.945424013434089,6.271391711863515,Low
2024-01-01,SKU092,11,1160.5,105.5,0,Decor,General,2023-01-01,71,105.5,1,1,Winter,0,,190.0,99.0,8.0,24.0,1,0,1,2024,11.09,178.91,15.715467328370554,5.982483052105497,Low
2024-01-01,SKU093,5,1585.4,317.08,0,Kitchen,General,2023-01-01,181,317.08,1,1,Winter,0,,281.0,81.0,6.0,53.0,1,0,1,2024,7.58,273.42,32.75058275058275,2.9629118033013326,Low
2024-01-01,SKU094,8,1404.24,175.53,0,Furniture,General,2023-01-01,90,175.53,1,1,Winter,0,,281.0,24.0,14.0,42.0,1,0,1,2024,8.84,272.16,28.556910569105693,3.383303534589465,Low
2024-01-01,SKU095,8,155.6,19.45,0,Furniture,General,2023-01-01,12,19.45,1,1,Winter,0,,95.0,30.0,6.0,29.0,1,0,1,2024,9.55,85.45,9.004739336492891,9.995262908574135,Low
2024-01-01,SKU096,13,610.22,46.94,0,Appliances,General,2023-01-01,28,46.94,1,1,Winter,0,,151.0,25.0,8.0,58.0,1,0,1,2024,11.04,139.96,12.541528239202659,7.384690873405299,Low
2024-01-01,SKU097,16,1343.84,83.99,0,Furniture,General,2023-01-01,43,83.99,1,1,Winter,0,,98.0,97.0,5.0,31.0,1,0,1,2024,13.92,84.08,6.568364611260054,13.212894084307475,Low
2024-01-01,SKU098,2,224.44,112.22,0,Decor,General,2023-01-01,72,112.22,1,1,Winter,0,,272.0,59.0,21.0,68.0,1,0,1,2024,5.61,266.39,41.149773071104384,2.3724920139262773,Low
2024-01-01,SKU099,11,2527.8,229.8,0,Appliances,General,2023-01-01,122,229.8,1,1,Winter,0,,249.0,87.0,21.0,61.0,1,0,1,2024,10.82,238.18,21.065989847715734,4.531861053600184,Low
2024-01-01,SKU100,13,4291.56,330.12,0,Furniture,General,2023-01-01,166,330.12,1,1,Winter,0,,185.0,80.0,13.0,29.0,1,0,1,2024,12.61,172.39,13.592946362968407,6.852625748955238,Low
2024-01-01,SKU101,6,2021.76,336.96,0,Appliances,General,2023-01-01,180,336.96,1,1,Winter,0,,245.0,8.0,18.0,48.0,1,0,1,2024,7.59,237.41,28.52153667054715,3.387357545644544,Low
2024-01-01,SKU102,12,2948.16,245.68,0,Decor,General,2023-01-01,179,245.68,1,1,Winter,0,,175.0,35.0,21.0,23.0,1,0,1,2024,11.25,163.75,14.285714285714286,6.5420560747663545,Low
2024-01-01,SKU103,13,1382.16,106.32,0,Furniture,General,2023-01-01,77,106.32,1,1,Winter,0,,200.0,64.0,5.0,39.0,1,0,1,2024,12.63,187.37,14.673514306676449,6.380190048214203,Low
2024-01-01,SKU104,12,4049.4,337.45,0,Appliances,General,2023-01-01,200,337.45,1,1,Winter,0,,256.0,57.0,4.0,23.0,1,0,1,2024,11.84,244.16,19.937694704049843,4.776074988840947,Low
2024-01-01,SKU105,13,1837.16,141.32,0,Appliances,General,2023-01-01,82,141.32,1,1,Winter,0,,208.0,36.0,5.0,61.0,1,0,1,2024,12.52,195.48,15.384615384615385,6.103286384976525,Low
2024-01-01,SKU106,4,441.76,110.44,0,Appliances,General,2023-01-01,62,110.44,1,1,Winter,0,,66.0,78.0,19.0,44.0,1,0,1,2024,6.15,59.85,9.23076923076923,9.774436090225565,Low
2024-01-01,SKU107,20,4108.14,205.41,1,Furniture,General,2023-01-01,139,228.23,1,1,Winter,0,,256.0,74.0,20.0,70.0,1,0,1,2024,19.52,236.48,12.475633528265108,7.420801388687978,Low
2024-01-01,SKU108,13,673.34,51.8,1,Appliances,General,2023-01-01,33,57.55,1,1,Winter,0,,41.0,57.0,21.0,61.0,1,0,1,2024,13.79,27.21,2.772143340094659,26.510127262950345,Low
2024-01-01,SKU109,8,218.8,27.35,0,Decor,General,2023-01-01,21,27.35,1,1,Winter,0,,116.0,41.0,18.0,52.0,1,0,1,2024,8.87,107.13,11.752786220871329,7.841423691109875,Low
2024-01-01,SKU110,8,2748.4,343.55,0,Decor,General,2023-01-01,173,343.55,1,1,Winter,0,,97.0,7.0,17.0,26.0,1,0,1,2024,11.88,85.12,7.5310559006211175,11.721878412813979,Low
2024-01-01,SKU111,16,4611.6,288.23,1,Kitchen,General,2023-01-01,199,320.25,1,1,Winter,0,,195.0,91.0,5.0,52.0,1,0,1,2024,13.07,181.93,13.859275053304904,6.72980341512412,Low
2024-01-01,SKU112,14,2799.16,199.94,0,Furniture,General,2023-01-01,153,199.94,1,1,Winter,0,,108.0,5.0,10.0,65.0,1,0,1,2024,13.06,94.94,7.681365576102418,11.518925118794035,Low
2024-01-01,SKU113,11,3954.39,359.49,0,Furniture,General,2023-01-01,186,359.49,1,1,Winter,0,,244.0,56.0,19.0,53.0,1,0,1,2024,10.23,233.77,21.727515583259127,4.399952983583435,Low
2024-01-01,SKU114,12,2131.32,177.61,0,Decor,General,2023-01-01,104,177.61,1,1,Winter,0,,101.0,46.0,14.0,78.0,1,0,1,2024,11.92,89.08,7.817337461300309,11.341292134831463,Low
2024-01-01,SKU115,11,1833.81,166.71,0,Appliances,General,2023-01-01,120,166.71,1,1,Winter,0,,164.0,49.0,16.0,69.0,1,0,1,2024,11.21,152.79,13.43161343161343,6.929232166165372,Low
2024-01-01,SKU116,13,2325.02,178.85,1,Furniture,General,2023-01-01,103,198.72,1,1,Winter,0,,193.0,86.0,4.0,70.0,1,0,1,2024,14.32,178.68,12.597911227154047,7.354070660522273,Low
2024-01-01,SKU117,13,1899.95,146.15,0,Decor,General,2023-01-01,101,146.15,1,1,Winter,0,,191.0,8.0,13.0,26.0,1,0,1,2024,12.01,178.99,14.681014604150654,6.3771383755698245,Low
2024-01-01,SKU118,19,4692.05,246.95,0,Kitchen,General,2023-01-01,180,246.95,1,1,Winter,0,,217.0,36.0,11.0,66.0,1,0,1,2024,16.94,200.06,12.0958751393534,7.6359921682131615,Low
2024-01-01,SKU119,10,3065.4,306.54,0,Decor,General,2023-01-01,168,306.54,1,1,Winter,0,,96.0,42.0,5.0,57.0,1,0,1,2024,11.3,84.7,7.804878048780488,11.357340720221606,Low
2024-01-01,SKU120,10,1011.5,101.15,0,Decor,General,2023-01-01,51,101.15,1,1,Winter,0,,92.0,44.0,12.0,61.0,1,0,1,2024,10.9,81.1,7.73109243697479,11.45332050048123,Low
2024-01-01,SKU121,10,1515.0,151.5,0,Appliances,General,2023-01-01,115,151.5,1,1,Winter,0,,220.0,16.0,5.0,39.0,1,0,1,2024,10.86,209.14,18.54974704890388,5.115155697403606,Low
2024-01-01,SKU122,8,1712.64,214.08,0,Decor,General,2023-01-01,115,214.08,1,1,Winter,0,,212.0,82.0,13.0,72.0,1,0,1,2024,9.13,202.87,20.927936821322803,4.560392562913609,Low
2024-01-01,SKU123,9,990.81,110.09,0,Furniture,General,2023-01-01,78,110.09,1,1,Winter,0,,85.0,85.0,19.0,25.0,1,0,1,2024,10.14,74.86,7.630161579892279,11.587268566673602,Low
2024-01-01,SKU124,12,2453.16,204.43,0,Kitchen,General,2023-01-01,107,204.43,1,1,Winter,0,,236.0,65.0,14.0,21.0,1,0,1,2024,11.59,224.41,18.7450357426529,5.064564141759524,Low
2024-01-01,SKU125,11,1045.22,95.02,0,Kitchen,General,2023-01-01,66,95.02,1,1,Winter,0,,205.0,39.0,8.0,80.0,1,0,1,2024,11.47,193.53,16.43945469125902,5.734124247022578,Low
2024-01-01,SKU126,14,1888.11,134.87,1,Decor,General,2023-01-01,99,149.85,1,1,Winter,0,,129.0,43.0,18.0,32.0,1,0,1,2024,14.27,114.73,8.447937131630649,10.584321064670409,Low
