date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU197,59,73,7,53
2024-01-01,SKU198,207,50,13,61
2024-01-01,SKU199,162,31,6,21
2024-01-01,SKU200,115,63,19,44
2024-01-08,SKU001,37,84,14,75
2024-01-08,SKU002,186,60,17,75
2024-01-08,SKU003,296,34,20,48
2024-01-08,SKU004,89,89,20,31
2024-01-08,SKU005,253,80,21,47
2024-01-08,SKU006,288,81,20,39
2024-01-08,SKU007,197,61,20,34
2024-01-08,SKU008,65,56,12,43
2024-01-08,SKU009,231,33,7,39
2024-01-08,SKU010,25,0,19,72
2024-01-08,SKU011,89,44,12,50
2024-01-08,SKU012,293,1,18,80
2024-01-08,SKU013,264,38,3,69
2024-01-08,SKU014,240,37,10,70
2024-01-08,SKU015,23,70,14,32
2024-01-08,SKU016,230,71,16,45
2024-01-08,SKU017,147,20,15,73
2024-01-08,SKU018,213,28,11,25
2024-01-08,SKU019,236,80,10,53
2024-01-08,SKU020,159,36,20,71
2024-01-08,SKU021,157,52,9,74
2024-01-08,SKU022,55,23,7,38
2024-01-08,SKU023,76,81,17,59
2024-01-08,SKU024,251,34,18,32
2024-01-08,SKU025,184,2,7,23
2024-01-08,SKU026,293,2,8,26
2024-01-08,SKU027,164,34,7,65
2024-01-08,SKU028,244,93,3,34
2024-01-08,SKU029,66,19,3,51
2024-01-08,SKU030,131,43,16,39
2024-01-08,SKU031,275,47,17,64
2024-01-08,SKU032,36,42,5,73
2024-01-08,SKU033,94,7,11,69
2024-01-08,SKU034,220,9,20,50
2024-01-08,SKU035,112,24,11,72
2024-01-08,SKU036,215,1,6,69
2024-01-08,SKU037,147,49,17,35
2024-01-08,SKU038,37,25,17,67
2024-01-08,SKU039,68,66,9,50
2024-01-08,SKU040,219,87,12,79
2024-01-08,SKU041,185,20,4,67
2024-01-08,SKU042,286,15,11,50
2024-01-08,SKU043,172,25,14,76
2024-01-08,SKU044,46,85,9,27
2024-01-08,SKU045,140,81,16,40
2024-01-08,SKU046,27,21,11,57
2024-01-08,SKU047,81,50,10,20
2024-01-08,SKU048,41,74,18,64
2024-01-08,SKU049,99,47,5,35
2024-01-08,SKU050,100,63,5,63
2024-01-08,SKU051,193,97,4,23
2024-01-08,SKU052,202,82,7,64
2024-01-08,SKU053,294,13,7,51
2024-01-08,SKU054,139,40,20,70
2024-01-08,SKU055,197,56,9,21
2024-01-08,SKU056,213,45,7,36
2024-01-08,SKU057,40,62,17,55
2024-01-08,SKU058,170,69,18,32
2024-01-08,SKU059,115,69,14,40
2024-01-08,SKU060,259,35,20,30
2024-01-08,SKU061,55,67,7,48
2024-01-08,SKU062,171,33,20,43
2024-01-08,SKU063,252,0,19,44
2024-01-08,SKU064,114,2,14,69
2024-01-08,SKU065,142,41,5,62
2024-01-08,SKU066,295,49,9,53
2024-01-08,SKU067,274,98,20,29
2024-01-08,SKU068,164,41,16,61
2024-01-08,SKU069,184,14,6,53
2024-01-08,SKU070,54,5,7,31
2024-01-08,SKU071,36,25,6,51
2024-01-08,SKU072,118,12,4,56
2024-01-08,SKU073,218,84,18,53
2024-01-08,SKU074,151,6,14,34
2024-01-08,SKU075,56,1,9,61
2024-01-08,SKU076,271,10,17,71
2024-01-08,SKU077,51,46,20,67
2024-01-08,SKU078,232,47,4,72
2024-01-08,SKU079,156,67,4,66
2024-01-08,SKU080,56,38,5,80
2024-01-08,SKU081,130,66,6,26
2024-01-08,SKU082,138,68,15,32
2024-01-08,SKU083,118,67,10,56
2024-01-08,SKU084,111,71,20,46
2024-01-08,SKU085,74,98,21,42
2024-01-08,SKU086,254,89,16,76
2024-01-08,SKU087,73,21,8,55
2024-01-08,SKU088,225,64,13,62
2024-01-08,SKU089,100,68,17,79
2024-01-08,SKU090,200,40,20,40
2024-01-08,SKU091,210,52,16,72
2024-01-08,SKU092,185,77,10,56
2024-01-08,SKU093,299,27,15,69
2024-01-08,SKU094,150,46,17,48
2024-01-08,SKU095,223,0,4,38
2024-01-08,SKU096,28,66,7,76
2024-01-08,SKU097,174,0,12,34
2024-01-08,SKU098,129,40,3,69
2024-01-08,SKU099,161,70,19,55
2024-01-08,SKU100,99,12,4,49
2024-01-08,SKU101,202,19,7,36
2024-01-08,SKU102,207,74,10,34
2024-01-08,SKU103,151,38,5,56
2024-01-08,SKU104,224,72,9,66
2024-01-08,SKU105,59,92,13,70
2024-01-08,SKU106,267,22,18,72
2024-01-08,SKU107,68,76,12,22
2024-01-08,SKU108,215,10,4,78
2024-01-08,SKU109,191,44,16,46
2024-01-08,SKU110,81,98,10,67
2024-01-08,SKU111,25,81,15,23
2024-01-08,SKU112,176,67,4,40
2024-01-08,SKU113,296,72,7,40
2024-01-08,SKU114,277,89,10,29
2024-01-08,SKU115,45,86,15,48
2024-01-08,SKU116,278,11,10,47
2024-01-08,SKU117,168,100,15,29
2024-01-08,SKU118,87,43,5,50
2024-01-08,SKU119,45,70,15,36
2024-01-08,SKU120,63,51,19,47
2024-01-08,SKU121,86,97,7,50
2024-01-08,SKU122,121,62,15,61
2024-01-08,SKU123,120,71,19,35
2024-01-08,SKU124,144,9,11,69
2024-01-08,SKU125,240,41,21,25
2024-01-08,SKU126,77,85,16,47
2024-01-08,SKU127,207,44,9,40
2024-01-08,SKU128,196,76,3,69
2024-01-08,SKU129,176,21,14,59
2024-01-08,SKU130,246,79,7,48
2024-01-08,SKU131,42,29,9,63
2024-01-08,SKU132,211,19,5,27
2024-01-08,SKU133,47,31,7,75
2024-01-08,SKU134,167,1,13,64
2024-01-08,SKU135,76,39,17,50
2024-01-08,SKU136,31,42,9,67
2024-01-08,SKU137,295,27,9,54
2024-01-08,SKU138,287,96,11,55
2024-01-08,SKU139,267,79,7,64
2024-01-08,SKU140,29,48,21,77
2024-01-08,SKU141,289,5,11,30
2024-01-08,SKU142,50,36,9,70
2024-01-08,SKU143,158,6,17,61
2024-01-08,SKU144,24,8,15,62
2024-01-08,SKU145,158,84,14,75
2024-01-08,SKU146,75,2,12,75
2024-01-08,SKU147,217,29,15,52
2024-01-08,SKU148,70,40,18,75
2024-01-08,SKU149,292,11,8,32
2024-01-08,SKU150,276,58,20,79
2024-01-08,SKU151,31,5,10,79
2024-01-08,SKU152,291,39,13,51
2024-01-08,SKU153,221,95,8,21
2024-01-08,SKU154,197,87,14,42
2024-01-08,SKU155,174,30,19,37
2024-01-08,SKU156,51,80,11,76
2024-01-08,SKU157,218,3,20,80
2024-01-08,SKU158,163,28,7,41
2024-01-08,SKU159,221,84,7,25
2024-01-08,SKU160,215,66,10,46
2024-01-08,SKU161,143,73,7,47
2024-01-08,SKU162,179,77,13,48
2024-01-08,SKU163,297,16,9,61
2024-01-08,SKU164,90,74,20,63
2024-01-08,SKU165,123,17,12,64
2024-01-08,SKU166,288,17,16,78
2024-01-08,SKU167,94,83,21,78
2024-01-08,SKU168,100,40,5,55
2024-01-08,SKU169,292,92,6,31
2024-01-08,SKU170,182,18,3,68
2024-01-08,SKU171,183,52,16,39
2024-01-08,SKU172,246,95,11,29
2024-01-08,SKU173,116,13,7,31
2024-01-08,SKU174,33,97,11,58
2024-01-08,SKU175,138,76,10,34
2024-01-08,SKU176,33,45,5,64
2024-01-08,SKU177,264,17,19,74
2024-01-08,SKU178,260,91,14,31
2024-01-08,SKU179,218,62,18,28
2024-01-08,SKU180,103,24,10,22
2024-01-08,SKU181,229,97,3,79
2024-01-08,SKU182,158,52,10,67
2024-01-08,SKU183,123,96,9,24
2024-01-08,SKU184,110,56,18,64
2024-01-08,SKU185,186,58,10,47
2024-01-08,SKU186,227,99,4,58
2024-01-08,SKU187,214,92,13,45
2024-01-08,SKU188,294,67,4,53
2024-01-08,SKU189,75,57,17,72
2024-01-08,SKU190,41,31,19,54
2024-01-08,SKU191,222,94,4,55
2024-01-08,SKU192,218,66,4,32
2024-01-08,SKU193,169,56,15,76
2024-01-08,SKU194,175,99,12,49
2024-01-08,SKU195,105,54,12,59
2024-01-08,SKU196,47,88,19,77
2024-01-08,SKU197,92,59,17,25
2024-01-08,SKU198,276,14,8,69
2024-01-08,SKU199,299,17,15,46
2024-01-08,SKU200,185,57,3,31
2024-01-15,SKU001,82,47,5,68
2024-01-15,SKU002,73,64,13,46
2024-01-15,SKU003,250,21,11,33
2024-01-15,SKU004,279,5,17,21
2024-01-15,SKU005,57,81,17,44
2024-01-15,SKU006,195,95,15,74
2024-01-15,SKU007,119,50,4,20
2024-01-15,SKU008,148,14,7,40
2024-01-15,SKU009,257,62,17,24
2024-01-15,SKU010,62,70,10,65
2024-01-15,SKU011,244,17,18,72
2024-01-15,SKU012,162,20,8,73
2024-01-15,SKU013,29,77,6,31
2024-01-15,SKU014,170,15,20,67
2024-01-15,SKU015,220,21,5,62
2024-01-15,SKU016,25,86,11,29
2024-01-15,SKU017,245,45,8,33
2024-01-15,SKU018,37,86,20,33
2024-01-15,SKU019,246,89,4,73
2024-01-15,SKU020,287,82,6,44
2024-01-15,SKU021,177,56,4,58
2024-01-15,SKU022,22,6,15,69
2024-01-15,SKU023,123,31,14,78
2024-01-15,SKU024,142,25,5,21
2024-01-15,SKU025,235,3,3,41
2024-01-15,SKU026,118,87,5,34
2024-01-15,SKU027,69,85,8,66
2024-01-15,SKU028,105,5,16,52
2024-01-15,SKU029,75,41,13,55
2024-01-15,SKU030,117,79,9,79
2024-01-15,SKU031,297,50,16,27
2024-01-15,SKU032,138,27,6,42
2024-01-15,SKU033,185,22,3,45
2024-01-15,SKU034,181,1,15,33
2024-01-15,SKU035,254,28,5,62
2024-01-15,SKU036,162,83,14,22
2024-01-15,SKU037,54,27,16,39
2024-01-15,SKU038,275,13,20,70
2024-01-15,SKU039,107,32,6,58
2024-01-15,SKU040,186,80,15,63
2024-01-15,SKU041,88,42,8,60
2024-01-15,SKU042,182,85,18,24
2024-01-15,SKU043,191,2,21,48
2024-01-15,SKU044,215,65,10,52
2024-01-15,SKU045,26,29,3,59
2024-01-15,SKU046,83,39,10,67
2024-01-15,SKU047,239,96,10,59
2024-01-15,SKU048,60,7,7,43
2024-01-15,SKU049,275,37,9,29
2024-01-15,SKU050,212,26,4,35
2024-01-15,SKU051,247,94,13,28
2024-01-15,SKU052,162,40,4,53
2024-01-15,SKU053,232,82,12,68
2024-01-15,SKU054,32,29,13,41
2024-01-15,SKU055,144,26,20,23
2024-01-15,SKU056,147,87,10,58
2024-01-15,SKU057,215,66,13,31
2024-01-15,SKU058,246,80,3,24
2024-01-15,SKU059,271,8,9,23
2024-01-15,SKU060,92,26,7,25
2024-01-15,SKU061,108,75,20,73
2024-01-15,SKU062,124,30,19,25
2024-01-15,SKU063,238,92,17,39
2024-01-15,SKU064,104,92,9,35
2024-01-15,SKU065,237,22,10,39
2024-01-15,SKU066,166,73,17,60
2024-01-15,SKU067,123,34,18,25
2024-01-15,SKU068,204,50,15,30
2024-01-15,SKU069,261,56,16,52
2024-01-15,SKU070,241,97,7,72
2024-01-15,SKU071,266,2,15,47
2024-01-15,SKU072,62,97,12,58
2024-01-15,SKU073,295,19,20,66
2024-01-15,SKU074,109,32,15,49
2024-01-15,SKU075,176,58,12,44
2024-01-15,SKU076,266,9,13,28
2024-01-15,SKU077,260,25,7,78
2024-01-15,SKU078,117,0,3,75
2024-01-15,SKU079,276,93,14,51
2024-01-15,SKU080,227,53,15,67
2024-01-15,SKU081,211,49,18,39
2024-01-15,SKU082,56,52,4,78
2024-01-15,SKU083,83,49,21,30
2024-01-15,SKU084,119,97,16,36
2024-01-15,SKU085,198,65,18,60
2024-01-15,SKU086,208,89,4,61
2024-01-15,SKU087,217,54,10,35
2024-01-15,SKU088,264,4,14,60
2024-01-15,SKU089,34,89,7,36
2024-01-15,SKU090,253,87,7,36
2024-01-15,SKU091,146,77,21,80
2024-01-15,SKU092,102,1,6,69
2024-01-15,SKU093,67,82,15,45
2024-01-15,SKU094,61,66,9,76
2024-01-15,SKU095,236,21,16,36
2024-01-15,SKU096,174,64,20,62
2024-01-15,SKU097,215,75,12,66
2024-01-15,SKU098,230,96,5,26
2024-01-15,SKU099,196,18,11,67
2024-01-15,SKU100,127,95,15,64
2024-01-15,SKU101,177,0,8,72
2024-01-15,SKU102,271,0,6,24
2024-01-15,SKU103,233,67,16,61
2024-01-15,SKU104,167,93,16,30
2024-01-15,SKU105,110,47,8,65
2024-01-15,SKU106,88,25,18,31
2024-01-15,SKU107,277,14,17,56
2024-01-15,SKU108,128,23,9,23
2024-01-15,SKU109,113,97,9,36
2024-01-15,SKU110,229,56,6,75
2024-01-15,SKU111,105,10,12,25
2024-01-15,SKU112,213,15,11,24
2024-01-15,SKU113,195,3,21,35
2024-01-15,SKU114,264,62,6,20
2024-01-15,SKU115,51,34,3,62
2024-01-15,SKU116,41,12,9,53
2024-01-15,SKU117,23,48,19,68
2024-01-15,SKU118,156,62,18,68
2024-01-15,SKU119,192,77,16,41
2024-01-15,SKU120,209,87,13,40
2024-01-15,SKU121,142,46,15,44
2024-01-15,SKU122,49,45,13,71
2024-01-15,SKU123,71,0,17,75
2024-01-15,SKU124,225,92,7,21
2024-01-15,SKU125,82,67,11,80
2024-01-15,SKU126,147,47,17,59
2024-01-15,SKU127,263,65,16,62
2024-01-15,SKU128,116,0,13,21
2024-01-15,SKU129,204,5,13,63
2024-01-15,SKU130,247,29,18,45
2024-01-15,SKU131,61,44,16,80
2024-01-15,SKU132,263,84,6,66
2024-01-15,SKU133,217,37,9,65
2024-01-15,SKU134,93,66,21,70
2024-01-15,SKU135,278,4,7,51
2024-01-15,SKU136,64,38,20,75
2024-01-15,SKU137,259,21,17,27
2024-01-15,SKU138,266,84,20,35
2024-01-15,SKU139,144,27,8,68
2024-01-15,SKU140,65,13,16,65
2024-01-15,SKU141,34,20,13,77
2024-01-15,SKU142,216,98,11,34
2024-01-15,SKU143,151,85,18,80
2024-01-15,SKU144,83,85,7,79
2024-01-15,SKU145,293,81,18,25
2024-01-15,SKU146,190,28,21,69
2024-01-15,SKU147,53,82,13,44
2024-01-15,SKU148,215,83,20,74
2024-01-15,SKU149,243,29,10,36
2024-01-15,SKU150,79,37,5,27
2024-01-15,SKU151,65,43,21,79
2024-01-15,SKU152,116,95,6,56
2024-01-15,SKU153,208,16,13,44
2024-01-15,SKU154,20,39,4,57
2024-01-15,SKU155,294,24,15,47
2024-01-15,SKU156,183,98,14,71
2024-01-15,SKU157,84,66,21,34
2024-01-15,SKU158,74,50,3,54
2024-01-15,SKU159,255,40,7,72
2024-01-15,SKU160,171,28,18,63
2024-01-15,SKU161,253,18,12,29
2024-01-15,SKU162,37,76,13,39
2024-01-15,SKU163,277,88,6,37
2024-01-15,SKU164,264,80,9,51
2024-01-15,SKU165,169,90,15,23
2024-01-15,SKU166,190,19,9,74
2024-01-15,SKU167,135,89,4,79
2024-01-15,SKU168,111,62,15,39
2024-01-15,SKU169,101,2,20,45
2024-01-15,SKU170,192,54,18,42
2024-01-15,SKU171,220,50,5,53
2024-01-15,SKU172,164,36,9,64
2024-01-15,SKU173,300,50,6,28
2024-01-15,SKU174,185,96,21,75
2024-01-15,SKU175,47,90,12,49
2024-01-15,SKU176,103,73,7,48
2024-01-15,SKU177,267,37,7,33
2024-01-15,SKU178,131,95,9,67
2024-01-15,SKU179,24,46,21,26
2024-01-15,SKU180,95,48,16,63
2024-01-15,SKU181,106,7,6,42
2024-01-15,SKU182,262,22,4,27
2024-01-15,SKU183,283,83,13,57
2024-01-15,SKU184,242,19,15,35
2024-01-15,SKU185,37,15,10,45
2024-01-15,SKU186,270,38,8,61
2024-01-15,SKU187,212,99,5,69
2024-01-15,SKU188,257,83,15,37
2024-01-15,SKU189,247,47,3,27
2024-01-15,SKU190,79,10,6,51
2024-01-15,SKU191,280,28,3,57
2024-01-15,SKU192,265,35,6,70
2024-01-15,SKU193,112,49,18,61
2024-01-15,SKU194,242,38,21,28
2024-01-15,SKU195,70,41,5,65
2024-01-15,SKU196,295,23,15,72
2024-01-15,SKU197,30,50,20,72
2024-01-15,SKU198,294,100,19,51
2024-01-15,SKU199,52,66,21,54
2024-01-15,SKU200,83,96,9,62
2024-01-22,SKU001,240,35,14,49
2024-01-22,SKU002,144,93,19,56
2024-01-22,SKU003,254,5,5,40
2024-01-22,SKU004,210,4,7,58
2024-01-22,SKU005,71,48,19,66
2024-01-22,SKU006,60,43,12,47
2024-01-22,SKU007,225,2,8,80
2024-01-22,SKU008,151,92,5,73
2024-01-22,SKU009,241,14,9,56
2024-01-22,SKU010,153,38,19,54
2024-01-22,SKU011,144,88,4,43
2024-01-22,SKU012,262,27,16,37
2024-01-22,SKU013,115,35,19,62
2024-01-22,SKU014,43,77,15,78
2024-01-22,SKU015,112,86,12,37
2024-01-22,SKU016,22,52,9,21
2024-01-22,SKU017,232,84,7,37
2024-01-22,SKU018,156,59,13,26
2024-01-22,SKU019,133,28,3,65
2024-01-22,SKU020,186,28,5,59
2024-01-22,SKU021,167,93,17,57
2024-01-22,SKU022,235,81,13,54
2024-01-22,SKU023,219,60,20,20
2024-01-22,SKU024,195,43,13,42
2024-01-22,SKU025,247,19,17,74
2024-01-22,SKU026,275,26,20,64
2024-01-22,SKU027,107,86,15,36
2024-01-22,SKU028,226,4,21,25
2024-01-22,SKU029,269,71,14,25
2024-01-22,SKU030,126,95,19,43
2024-01-22,SKU031,175,37,13,48
2024-01-22,SKU032,259,3,7,59
2024-01-22,SKU033,105,79,14,56
2024-01-22,SKU034,240,53,3,68
2024-01-22,SKU035,165,71,18,35
2024-01-22,SKU036,212,68,7,44
2024-01-22,SKU037,83,12,15,33
2024-01-22,SKU038,128,14,21,38
2024-01-22,SKU039,111,20,15,55
2024-01-22,SKU040,229,45,9,46
2024-01-22,SKU041,162,40,14,60
2024-01-22,SKU042,74,85,13,52
2024-01-22,SKU043,294,68,15,34
2024-01-22,SKU044,226,63,17,38
2024-01-22,SKU045,250,20,8,45
2024-01-22,SKU046,167,0,20,73
2024-01-22,SKU047,191,97,17,61
2024-01-22,SKU048,108,87,6,44
2024-01-22,SKU049,234,53,16,32
2024-01-22,SKU050,34,79,10,28
2024-01-22,SKU051,277,10,21,66
2024-01-22,SKU052,229,2,13,59
2024-01-22,SKU053,147,21,21,60
2024-01-22,SKU054,261,87,5,80
2024-01-22,SKU055,209,2,15,55
2024-01-22,SKU056,281,24,8,49
2024-01-22,SKU057,208,92,10,31
2024-01-22,SKU058,261,91,9,40
2024-01-22,SKU059,87,37,5,77
2024-01-22,SKU060,35,26,21,49
2024-01-22,SKU061,255,31,17,35
2024-01-22,SKU062,110,59,19,61
2024-01-22,SKU063,76,77,13,75
2024-01-22,SKU064,101,31,17,66
2024-01-22,SKU065,55,0,4,63
2024-01-22,SKU066,228,66,18,75
2024-01-22,SKU067,217,9,16,36
2024-01-22,SKU068,295,15,20,65
2024-01-22,SKU069,32,56,18,72
2024-01-22,SKU070,50,37,15,73
2024-01-22,SKU071,40,46,15,65
2024-01-22,SKU072,281,80,17,47
2024-01-22,SKU073,83,13,7,74
2024-01-22,SKU074,154,97,21,68
2024-01-22,SKU075,77,92,8,43
2024-01-22,SKU076,231,84,13,29
2024-01-22,SKU077,144,61,9,36
2024-01-22,SKU078,69,42,5,49
2024-01-22,SKU079,271,96,10,68
2024-01-22,SKU080,153,43,12,64
2024-01-22,SKU081,247,42,17,64
2024-01-22,SKU082,152,72,11,58
2024-01-22,SKU083,38,97,7,29
2024-01-22,SKU084,287,36,3,34
2024-01-22,SKU085,209,72,14,65
2024-01-22,SKU086,169,39,8,56
2024-01-22,SKU087,176,60,17,63
2024-01-22,SKU088,170,19,7,29
2024-01-22,SKU089,169,49,11,60
2024-01-22,SKU090,136,3,9,57
2024-01-22,SKU091,175,18,21,20
2024-01-22,SKU092,152,46,19,67
2024-01-22,SKU093,284,51,18,59
2024-01-22,SKU094,107,44,7,57
2024-01-22,SKU095,276,40,19,43
2024-01-22,SKU096,213,62,8,75
